sentence,translation,translation_extra,messages
"Shake the dust from your shoes, stranger.","Shake the dust from your shoes, stranger, you must.","Shake the dust from your shoes, stranger, you must. Yrsssss.","[{'content': 'Shake the dust from your shoes, stranger.', 'role': 'user'}
 {'content': 'Shake the dust from your shoes, stranger, you must.', 'role': 'assistant'}
 {'content': 'Shake the dust from your shoes, stranger, you must. Yrsssss.', 'role': 'assistant'}]"
Glue the sheet to the dark blue background.,"Glue the sheet to the dark blue background, you must.","Glue the sheet to the dark blue background, you must.","[{'content': 'Glue the sheet to the dark blue background.', 'role': 'user'}
 {'content': 'Glue the sheet to the dark blue background, you must.', 'role': 'assistant'}
 {'content': 'Glue the sheet to the dark blue background, you must.', 'role': 'assistant'}]"
Sickness kept him home the third week.,"Kept him home the third week, sickness did.","Kept him home the third week, sickness did. Hmm.","[{'content': 'Sickness kept him home the third week.', 'role': 'user'}
 {'content': 'Kept him home the third week, sickness did.', 'role': 'assistant'}
 {'content': 'Kept him home the third week, sickness did. Hmm.', 'role': 'assistant'}]"
Crouch before you jump or miss the mark.,"Before you jump, crouch, or miss the mark, you will.","Before you jump, crouch, or miss the mark, you will. Yes, hrrmmm.","[{'content': 'Crouch before you jump or miss the mark.', 'role': 'user'}
 {'content': 'Before you jump, crouch, or miss the mark, you will.', 'role': 'assistant'}
 {'content': 'Before you jump, crouch, or miss the mark, you will. Yes, hrrmmm.', 'role': 'assistant'}]"
Flax makes a fine brand of paper.,"Makes a fine brand of paper, flax does.","Makes a fine brand of paper, flax does.","[{'content': 'Flax makes a fine brand of paper.', 'role': 'user'}
 {'content': 'Makes a fine brand of paper, flax does.', 'role': 'assistant'}
 {'content': 'Makes a fine brand of paper, flax does.', 'role': 'assistant'}]"
He knew the skill of the great young actress.,"The skill of the great young actress, he knew.","The skill of the great young actress, he knew.","[{'content': 'He knew the skill of the great young actress.', 'role': 'user'}
 {'content': 'The skill of the great young actress, he knew.', 'role': 'assistant'}
 {'content': 'The skill of the great young actress, he knew.', 'role': 'assistant'}]"
The horn of the car woke the sleeping cop.,"Woke the sleeping cop, the horn of the car did.","Woke the sleeping cop, the horn of the car did. Yes, hrrmmm.","[{'content': 'The horn of the car woke the sleeping cop.', 'role': 'user'}
 {'content': 'Woke the sleeping cop, the horn of the car did.', 'role': 'assistant'}
 {'content': 'Woke the sleeping cop, the horn of the car did. Yes, hrrmmm.', 'role': 'assistant'}]"
"Paper is scarce, so write with much care.","Paper scarce is, so wih much care, write.","Hrrmmm. Paper scarce is, so wih much care, write. Yes, hrrmmm.","[{'content': 'Paper is scarce, so write with much care.', 'role': 'user'}
 {'content': 'Paper scarce is, so wih much care, write.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Paper scarce is, so wih much care, write. Yes, hrrmmm.', 'role': 'assistant'}]"
"Write fast, if you want to finish early.","If you want to finish early, write fast, you must.","Hrrmmm. If you want to finish early, write fast, you must.","[{'content': 'Write fast, if you want to finish early.', 'role': 'user'}
 {'content': 'If you want to finish early, write fast, you must.', 'role': 'assistant'}
 {'content': 'Hrrmmm. If you want to finish early, write fast, you must.', 'role': 'assistant'}]"
The dusty bench stood by the stone wall.,"By the stone wall, the dusty bench stood.","By the stone wall, the dusty bench stood.","[{'content': 'The dusty bench stood by the stone wall.', 'role': 'user'}
 {'content': 'By the stone wall, the dusty bench stood.', 'role': 'assistant'}
 {'content': 'By the stone wall, the dusty bench stood.', 'role': 'assistant'}]"
A man in a blue sweater sat at the desk.,"Sat at the desk, a man in a blue sweater did.","Sat at the desk, a man in a blue sweater did.","[{'content': 'A man in a blue sweater sat at the desk.', 'role': 'user'}
 {'content': 'Sat at the desk, a man in a blue sweater did.', 'role': 'assistant'}
 {'content': 'Sat at the desk, a man in a blue sweater did.', 'role': 'assistant'}]"
Down that road is the way to the grain farmer.,"The way to the grain farmer, down that road is.","The way to the grain farmer, down that road is. Yrsssss.","[{'content': 'Down that road is the way to the grain farmer.', 'role': 'user'}
 {'content': 'The way to the grain farmer, down that road is.', 'role': 'assistant'}
 {'content': 'The way to the grain farmer, down that road is. Yrsssss.', 'role': 'assistant'}]"
Dimes showered down from all sides.,"From all sides, dimes showered down.","From all sides, dimes showered down.","[{'content': 'Dimes showered down from all sides.', 'role': 'user'}
 {'content': 'From all sides, dimes showered down.', 'role': 'assistant'}
 {'content': 'From all sides, dimes showered down.', 'role': 'assistant'}]"
The red paper brightened the dim stage.,"The dim stage, the red paper brightened.","The dim stage, the red paper brightened. Hrmmm.","[{'content': 'The red paper brightened the dim stage.', 'role': 'user'}
 {'content': 'The dim stage, the red paper brightened.', 'role': 'assistant'}
 {'content': 'The dim stage, the red paper brightened. Hrmmm.', 'role': 'assistant'}]"
Tea in thin china has a sweet taste.,"In thin china, tea a sweet taste has.","In thin china, tea a sweet taste has. Yes, hrrrm.","[{'content': 'Tea in thin china has a sweet taste.', 'role': 'user'}
 {'content': 'In thin china, tea a sweet taste has.', 'role': 'assistant'}
 {'content': 'In thin china, tea a sweet taste has. Yes, hrrrm.', 'role': 'assistant'}]"
The mute muffled the high tones of the horn.,"Muffled the high tones of the horn, the mute did.","Muffled the high tones of the horn, the mute did.","[{'content': 'The mute muffled the high tones of the horn.', 'role': 'user'}
 {'content': 'Muffled the high tones of the horn, the mute did.', 'role': 'assistant'}
 {'content': 'Muffled the high tones of the horn, the mute did.', 'role': 'assistant'}]"
The fly made its way along the wall.,"Along the wall, the fly its way made.","Along the wall, the fly its way made.","[{'content': 'The fly made its way along the wall.', 'role': 'user'}
 {'content': 'Along the wall, the fly its way made.', 'role': 'assistant'}
 {'content': 'Along the wall, the fly its way made.', 'role': 'assistant'}]"
It matters not if he reads these words or those.,"Matters not, if these words or those he reads.","Matters not, if these words or those he reads. Hmm.","[{'content': 'It matters not if he reads these words or those.', 'role': 'user'}
 {'content': 'Matters not, if these words or those he reads.', 'role': 'assistant'}
 {'content': 'Matters not, if these words or those he reads. Hmm.', 'role': 'assistant'}]"
Take the match and strike it against your shoe.,"Take the match, and against your shoe strike it, you must.","Take the match, and against your shoe strike it, you must.","[{'content': 'Take the match and strike it against your shoe.', 'role': 'user'}
 {'content': 'Take the match, and against your shoe strike it, you must.', 'role': 'assistant'}
 {'content': 'Take the match, and against your shoe strike it, you must.', 'role': 'assistant'}]"
The night shift men rate extra pay.,"Extra pay, the night shift men rate.","Extra pay, the night shift men rate. Hrmmm.","[{'content': 'The night shift men rate extra pay.', 'role': 'user'}
 {'content': 'Extra pay, the night shift men rate.', 'role': 'assistant'}
 {'content': 'Extra pay, the night shift men rate. Hrmmm.', 'role': 'assistant'}]"
Time brings us many changes.,"Many changes, time brings us.","Many changes, time brings us.","[{'content': 'Time brings us many changes.', 'role': 'user'}
 {'content': 'Many changes, time brings us.', 'role': 'assistant'}
 {'content': 'Many changes, time brings us.', 'role': 'assistant'}]"
A cup of sugar makes sweet fudge.,"Sweet fudge, a cup of sugar makes.","Sweet fudge, a cup of sugar makes.","[{'content': 'A cup of sugar makes sweet fudge.', 'role': 'user'}
 {'content': 'Sweet fudge, a cup of sugar makes.', 'role': 'assistant'}
 {'content': 'Sweet fudge, a cup of sugar makes.', 'role': 'assistant'}]"
Cheap clothes are flashy but do not last.,"Flashy but do not last, cheap clothes are.","Flashy but do not last, cheap clothes are. Yrsssss.","[{'content': 'Cheap clothes are flashy but do not last.', 'role': 'user'}
 {'content': 'Flashy but do not last, cheap clothes are.', 'role': 'assistant'}
 {'content': 'Flashy but do not last, cheap clothes are. Yrsssss.', 'role': 'assistant'}]"
Cut the cord that binds the box tightly.,"That binds the box tightly, cut the cord, you must.","That binds the box tightly, cut the cord, you must. Yes, hrrrm.","[{'content': 'Cut the cord that binds the box tightly.', 'role': 'user'}
 {'content': 'That binds the box tightly, cut the cord, you must.', 'role': 'assistant'}
 {'content': 'That binds the box tightly, cut the cord, you must. Yes, hrrrm.', 'role': 'assistant'}]"
A pot of tea helps to pass the evening.,"Pass the evening, a pot of tea helps.","Pass the evening, a pot of tea helps.","[{'content': 'A pot of tea helps to pass the evening.', 'role': 'user'}
 {'content': 'Pass the evening, a pot of tea helps.', 'role': 'assistant'}
 {'content': 'Pass the evening, a pot of tea helps.', 'role': 'assistant'}]"
He picked up the dice for a second roll.,"The dice for a second roll, he picked up.","Hrrmmm. The dice for a second roll, he picked up. Yes, hrrmmm.","[{'content': 'He picked up the dice for a second roll.', 'role': 'user'}
 {'content': 'The dice for a second roll, he picked up.', 'role': 'assistant'}
 {'content': 'Hrrmmm. The dice for a second roll, he picked up. Yes, hrrmmm.', 'role': 'assistant'}]"
The square wooden crate was packed to be shipped.,"Packed to be shipped, the square wooden crate was.","Packed to be shipped, the square wooden crate was. Yes, hrrrm.","[{'content': 'The square wooden crate was packed to be shipped.', 'role': 'user'}
 {'content': 'Packed to be shipped, the square wooden crate was.', 'role': 'assistant'}
 {'content': 'Packed to be shipped, the square wooden crate was. Yes, hrrrm.', 'role': 'assistant'}]"
The sink is the thing in which we pile dishes.,"The thing in which we pile dishes, the sink is.","The thing in which we pile dishes, the sink is.","[{'content': 'The sink is the thing in which we pile dishes.', 'role': 'user'}
 {'content': 'The thing in which we pile dishes, the sink is.', 'role': 'assistant'}
 {'content': 'The thing in which we pile dishes, the sink is.', 'role': 'assistant'}]"
Clothes and lodging are free to new men.,"Free to new men, clothes and lodging are.","Free to new men, clothes and lodging are.","[{'content': 'Clothes and lodging are free to new men.', 'role': 'user'}
 {'content': 'Free to new men, clothes and lodging are.', 'role': 'assistant'}
 {'content': 'Free to new men, clothes and lodging are.', 'role': 'assistant'}]"
Hedge apples may stain your hands green.,"May stain your hands green, hedge apples do.","May stain your hands green, hedge apples do.","[{'content': 'Hedge apples may stain your hands green.', 'role': 'user'}
 {'content': 'May stain your hands green, hedge apples do.', 'role': 'assistant'}
 {'content': 'May stain your hands green, hedge apples do.', 'role': 'assistant'}]"
The couch cover and hall drapes were blue.,"Blue, the couch cover and hall drapes were.","Blue, the couch cover and hall drapes were.","[{'content': 'The couch cover and hall drapes were blue.', 'role': 'user'}
 {'content': 'Blue, the couch cover and hall drapes were.', 'role': 'assistant'}
 {'content': 'Blue, the couch cover and hall drapes were.', 'role': 'assistant'}]"
His wide grin earned many friends.,"Earned many friends, his wide grin did.","Hrrmmm. Earned many friends, his wide grin did. Yes, hrrmmm.","[{'content': 'His wide grin earned many friends.', 'role': 'user'}
 {'content': 'Earned many friends, his wide grin did.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Earned many friends, his wide grin did. Yes, hrrmmm.', 'role': 'assistant'}]"
